Magma V2.25-4     Mon Dec  4 2023 18:27:31 on magma-somas [Seed = 1784747585]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "assumptiona.m"
p = 1009: success with T_11 and q = 3 (13.540 sec)
p = 1013: success with T_2 and q = 1 (2.360 sec)
p = 1019: success with T_2 and q = 1 (7.270 sec)
p = 1021: success with T_2 and q = 1 (2.610 sec)
p = 1031: success with T_7 and q = 1 (14.350 sec)
p = 1033: success with T_5 and q = 3 (6.890 sec)
p = 1039: success with T_3 and q = 1 (4.070 sec)
p = 1049: success with T_3 and q = 3 (4.490 sec)
p = 1051: success with T_2 and q = 1 (5.370 sec)
p = 1061: success with T_2 and q = 1 (8.140 sec)
p = 1063: success with T_3 and q = 1 (8.580 sec)
p = 1069: success with T_2 and q = 1 (7.890 sec)
p = 1087: success with T_3 and q = 1 (4.680 sec)
p = 1091: success with T_2 and q = 1 (6.700 sec)
p = 1093: success with T_2 and q = 1 (5.930 sec)
p = 1097: success with T_3 and q = 3 (4.990 sec)
p = 1103: success with T_5 and q = 1 (10.220 sec)
p = 1109: success with T_2 and q = 1 (6.900 sec)
p = 1117: success with T_2 and q = 1 (3.270 sec)
p = 1123: success with T_2 and q = 1 (3.700 sec)
p = 1129: success with T_11 and q = 3 (26.390 sec)
p = 1151: success with T_2 and q = 1 (8.340 sec)
p = 1153: success with T_5 and q = 3 (32.550 sec)
p = 1163: success with T_2 and q = 1 (3.990 sec)
p = 1171: success with T_2 and q = 1 (12.950 sec)
p = 1181: success with T_2 and q = 1 (4.350 sec)
p = 1187: success with T_2 and q = 1 (19.820 sec)
p = 1193: success with T_3 and q = 3 (19.500 sec)
p = 1201: success with T_11 and q = 3 (41.070 sec)
p = 1213: success with T_2 and q = 1 (4.690 sec)
p = 1217: success with T_3 and q = 3 (8.540 sec)
p = 1223: success with T_5 and q = 1 (32.060 sec)
p = 1229: success with T_2 and q = 1 (15.580 sec)
p = 1231: success with T_3 and q = 1 (7.750 sec)
p = 1237: success with T_2 and q = 1 (5.200 sec)
p = 1249: success with T_7 and q = 3 (86.460 sec)
p = 1259: success with T_2 and q = 1 (26.650 sec)
p = 1277: success with T_2 and q = 1 (5.770 sec)
p = 1279: success with T_3 and q = 1 (9.530 sec)
p = 1283: success with T_2 and q = 1 (13.560 sec)
p = 1289: success with T_3 and q = 3 (42.840 sec)
p = 1291: success with T_2 and q = 1 (6.170 sec)
p = 1297: success with T_5 and q = 3 (72.620 sec)
p = 1301: success with T_2 and q = 1 (13.270 sec)
p = 1303: success with T_3 and q = 1 (10.750 sec)
p = 1307: success with T_2 and q = 1 (6.780 sec)
p = 1319: success with T_2 and q = 1 (15.390 sec)
p = 1321: success with T_7 and q = 3 (85.760 sec)
p = 1327: success with T_3 and q = 1 (11.640 sec)
p = 1361: success with T_3 and q = 3 (27.900 sec)
p = 1367: success with T_5 and q = 1 (28.580 sec)
p = 1373: success with T_2 and q = 1 (16.360 sec)
p = 1381: success with T_2 and q = 1 (7.670 sec)
p = 1399: success with T_3 and q = 1 (16.780 sec)
p = 1409: success with T_3 and q = 3 (25.040 sec)
p = 1423: success with T_3 and q = 1 (28.340 sec)
p = 1427: success with T_2 and q = 1 (20.920 sec)
p = 1429: success with T_2 and q = 1 (8.840 sec)
p = 1433: success with T_3 and q = 3 (53.570 sec)
p = 1439: success with T_7 and q = 1 (123.510 sec)
p = 1447: success with T_3 and q = 1 (19.850 sec)
p = 1451: success with T_2 and q = 1 (9.420 sec)
p = 1453: success with T_2 and q = 1 (10.100 sec)
p = 1459: success with T_2 and q = 1 (20.960 sec)
p = 1471: success with T_3 and q = 1 (20.670 sec)
p = 1481: success with T_3 and q = 3 (52.320 sec)
p = 1483: success with T_2 and q = 1 (38.270 sec)
p = 1487: success with T_5 and q = 1 (56.140 sec)
p = 1489: success with T_7 and q = 3 (66.310 sec)
p = 1493: success with T_2 and q = 1 (10.380 sec)
p = 1499: success with T_2 and q = 1 (10.710 sec)
p = 1511: success with T_2 and q = 1 (13.800 sec)
p = 1523: success with T_2 and q = 1 (11.330 sec)
p = 1531: success with T_2 and q = 1 (38.120 sec)
p = 1543: success with T_3 and q = 1 (25.410 sec)
p = 1549: success with T_2 and q = 1 (26.190 sec)
p = 1553: success with T_3 and q = 3 (25.170 sec)
p = 1559: success with T_2 and q = 1 (15.950 sec)
p = 1567: success with T_3 and q = 1 (99.240 sec)
p = 1571: success with T_2 and q = 1 (16.140 sec)
p = 1579: success with T_2 and q = 1 (13.510 sec)
p = 1583: success with T_5 and q = 1 (77.630 sec)
p = 1597: success with T_2 and q = 1 (16.130 sec)
p = 1601: success with T_3 and q = 3 (31.670 sec)
p = 1607: success with T_5 and q = 1 (147.510 sec)
p = 1609: success with T_7 and q = 3 (178.010 sec)
p = 1613: success with T_2 and q = 1 (46.790 sec)
p = 1619: success with T_2 and q = 1 (35.770 sec)
p = 1621: success with T_2 and q = 1 (31.110 sec)
p = 1627: success with T_2 and q = 1 (35.560 sec)
p = 1637: success with T_2 and q = 1 (15.070 sec)
p = 1657: success with T_5 and q = 3 (206.790 sec)
p = 1663: success with T_3 and q = 1 (36.000 sec)
p = 1667: success with T_2 and q = 1 (18.450 sec)
p = 1669: success with T_2 and q = 1 (17.120 sec)
p = 1693: success with T_2 and q = 1 (39.710 sec)
p = 1697: success with T_3 and q = 3 (38.740 sec)
p = 1699: success with T_2 and q = 1 (22.290 sec)
p = 1709: success with T_2 and q = 1 (20.520 sec)
p = 1721: success with T_3 and q = 3 (41.540 sec)
p = 1723: success with T_2 and q = 1 (20.140 sec)
p = 1733: success with T_2 and q = 1 (44.660 sec)
p = 1741: success with T_2 and q = 1 (20.380 sec)
p = 1747: success with T_2 and q = 1 (45.810 sec)
p = 1753: success with T_5 and q = 3 (223.610 sec)
p = 1759: success with T_3 and q = 1 (49.750 sec)
p = 1777: success with T_5 and q = 3 (123.280 sec)
p = 1783: success with T_3 and q = 1 (53.360 sec)
p = 1787: success with T_2 and q = 1 (24.960 sec)
p = 1789: success with T_2 and q = 1 (23.600 sec)
p = 1801: success with T_11 and q = 3 (222.460 sec)
p = 1811: success with T_2 and q = 1 (86.840 sec)
p = 1823: success with T_5 and q = 1 (306.050 sec)
p = 1831: success with T_3 and q = 1 (123.100 sec)
p = 1847: success with T_5 and q = 1 (144.640 sec)
p = 1861: success with T_2 and q = 1 (31.660 sec)
p = 1867: success with T_2 and q = 1 (64.560 sec)
p = 1871: success with T_7 and q = 1 (356.690 sec)
p = 1873: success with T_5 and q = 3 (334.070 sec)
p = 1877: success with T_2 and q = 1 (33.550 sec)
p = 1879: success with T_3 and q = 1 (67.810 sec)
p = 1889: success with T_3 and q = 3 (110.150 sec)
p = 1901: success with T_2 and q = 1 (74.190 sec)
p = 1907: success with T_2 and q = 1 (99.750 sec)
p = 1913: success with T_3 and q = 3 (154.120 sec)
p = 1931: success with T_2 and q = 1 (37.950 sec)
p = 1933: success with T_2 and q = 1 (70.400 sec)
p = 1949: success with T_2 and q = 1 (81.500 sec)
p = 1951: success with T_3 and q = 1 (77.890 sec)
p = 1973: success with T_2 and q = 1 (78.570 sec)
p = 1979: success with T_2 and q = 1 (80.680 sec)
p = 1987: success with T_2 and q = 1 (81.830 sec)
p = 1993: success with T_5 and q = 3 (206.450 sec)
p = 1997: success with T_2 and q = 1 (42.810 sec)
p = 1999: success with T_3 and q = 1 (134.350 sec)
[]
11 3

Total time: 6527.529 seconds, Total memory usage: 137.88MB
