Magma V2.25-4     Mon Dec  4 2023 18:28:15 on magma-somas [Seed = 1448946257]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "assumptiona.m"
p = 3001: success with T_7 and q = 3 (3223.970 sec)
p = 3011: success with T_2 and q = 1 (216.220 sec)
p = 3019: success with T_2 and q = 1 (221.330 sec)
p = 3023: success with T_5 and q = 1 (2155.750 sec)
p = 3037: success with T_2 and q = 1 (221.770 sec)
p = 3041: success with T_3 and q = 3 (471.700 sec)
p = 3049: success with T_11 and q = 3 (5598.450 sec)
p = 3061: success with T_2 and q = 1 (221.650 sec)
p = 3067: success with T_2 and q = 1 (215.380 sec)
p = 3079: success with T_3 and q = 1 (418.310 sec)
p = 3083: success with T_2 and q = 1 (210.070 sec)
p = 3089: success with T_3 and q = 3 (1202.280 sec)
p = 3109: success with T_2 and q = 1 (399.040 sec)
p = 3119: success with T_7 and q = 1 (1917.310 sec)
p = 3121: success with T_7 and q = 3 (1626.040 sec)
p = 3137: success with T_3 and q = 3 (928.490 sec)
p = 3163: success with T_2 and q = 1 (443.770 sec)
p = 3167: success with T_5 and q = 1 (1244.500 sec)
p = 3169: success with T_7 and q = 3 (1977.630 sec)
p = 3181: success with T_2 and q = 1 (471.210 sec)
p = 3187: success with T_2 and q = 1 (259.460 sec)
p = 3191: success with T_2 and q = 1 (248.130 sec)
p = 3203: success with T_2 and q = 1 (466.640 sec)
p = 3209: success with T_3 and q = 3 (542.510 sec)
p = 3217: success with T_5 and q = 3 (2429.340 sec)
p = 3221: success with T_2 and q = 1 (241.100 sec)
p = 3229: success with T_2 and q = 1 (668.390 sec)
p = 3251: success with T_2 and q = 1 (484.730 sec)
p = 3253: success with T_2 and q = 1 (267.430 sec)
p = 3257: success with T_3 and q = 3 (1115.770 sec)
p = 3259: success with T_2 and q = 1 (487.420 sec)
p = 3271: success with T_3 and q = 1 (1099.480 sec)
p = 3299: success with T_2 and q = 1 (280.250 sec)
p = 3301: success with T_2 and q = 1 (256.790 sec)
p = 3307: success with T_2 and q = 1 (536.600 sec)
p = 3313: success with T_5 and q = 3 (5897.910 sec)
p = 3319: success with T_3 and q = 1 (553.330 sec)
p = 3323: success with T_2 and q = 1 (292.020 sec)
p = 3329: success with T_3 and q = 3 (622.240 sec)
p = 3331: success with T_2 and q = 1 (520.100 sec)
p = 3343: success with T_3 and q = 1 (598.720 sec)
p = 3347: success with T_2 and q = 1 (567.920 sec)
p = 3359: success with T_2 and q = 1 (298.450 sec)
p = 3361: success with T_11 and q = 3 (3174.170 sec)
p = 3371: success with T_2 and q = 1 (928.630 sec)
p = 3373: success with T_2 and q = 1 (317.010 sec)
p = 3389: success with T_2 and q = 1 (327.110 sec)
p = 3391: success with T_3 and q = 1 (1611.780 sec)
p = 3407: success with T_5 and q = 1 (1513.270 sec)
p = 3413: success with T_2 and q = 1 (319.140 sec)
p = 3433: success with T_5 and q = 3 (1625.580 sec)
p = 3449: success with T_3 and q = 3 (676.340 sec)
p = 3457: success with T_5 and q = 3 (1475.210 sec)
p = 3461: success with T_2 and q = 1 (344.430 sec)
p = 3463: success with T_3 and q = 1 (1296.210 sec)
p = 3467: success with T_2 and q = 1 (621.910 sec)
p = 3469: success with T_2 and q = 1 (617.230 sec)
p = 3491: success with T_2 and q = 1 (364.870 sec)
p = 3499: success with T_2 and q = 1 (345.550 sec)
p = 3511: success with T_3 and q = 1 (704.470 sec)
p = 3517: success with T_2 and q = 1 (654.400 sec)
p = 3527: success with T_5 and q = 1 (1721.940 sec)
p = 3529: success with T_13 and q = 3 (4143.180 sec)
p = 3533: success with T_2 and q = 1 (384.410 sec)
p = 3539: success with T_2 and q = 1 (396.940 sec)
p = 3541: success with T_2 and q = 1 (377.960 sec)
p = 3547: success with T_2 and q = 1 (1303.430 sec)
p = 3557: success with T_2 and q = 1 (378.760 sec)
p = 3559: success with T_3 and q = 1 (736.950 sec)
p = 3571: success with T_2 and q = 1 (344.320 sec)
p = 3581: success with T_2 and q = 1 (709.370 sec)
p = 3583: success with T_3 and q = 1 (1530.680 sec)
p = 3593: success with T_3 and q = 3 (755.910 sec)
p = 3607: success with T_3 and q = 1 (1696.610 sec)
p = 3613: success with T_2 and q = 1 (390.100 sec)
p = 3617: success with T_3 and q = 3 (807.920 sec)
p = 3623: success with T_5 and q = 1 (3693.710 sec)
p = 3631: success with T_3 and q = 1 (777.140 sec)
p = 3637: success with T_2 and q = 1 (391.540 sec)
p = 3643: success with T_2 and q = 1 (411.780 sec)
p = 3659: success with T_2 and q = 1 (411.930 sec)
p = 3671: success with T_2 and q = 1 (402.430 sec)
p = 3673: success with T_5 and q = 3 (1895.190 sec)
p = 3677: success with T_2 and q = 1 (400.030 sec)
p = 3691: success with T_2 and q = 1 (405.670 sec)
p = 3697: success with T_5 and q = 3 (1891.760 sec)
p = 3701: success with T_2 and q = 1 (493.400 sec)
p = 3709: success with T_2 and q = 1 (515.830 sec)
p = 3719: success with T_7 and q = 1 (4199.110 sec)
p = 3727: success with T_3 and q = 1 (975.240 sec)
p = 3733: success with T_2 and q = 1 (443.780 sec)
p = 3739: success with T_2 and q = 1 (436.010 sec)
p = 3761: success with T_3 and q = 3 (922.710 sec)
p = 3767: success with T_5 and q = 1 (2290.680 sec)
p = 3769: success with T_7 and q = 3 (4234.720 sec)
p = 3779: success with T_2 and q = 1 (955.350 sec)
p = 3793: success with T_5 and q = 3 (2488.890 sec)
p = 3797: success with T_2 and q = 1 (1399.280 sec)
p = 3803: success with T_2 and q = 1 (491.460 sec)
p = 3821: success with T_2 and q = 1 (569.670 sec)
p = 3823: success with T_3 and q = 1 (1077.820 sec)
p = 3833: success with T_3 and q = 3 (1057.860 sec)
p = 3847: success with T_3 and q = 1 (1076.120 sec)
p = 3851: success with T_2 and q = 1 (1033.820 sec)
p = 3853: success with T_2 and q = 1 (1006.590 sec)
p = 3863: success with T_5 and q = 1 (2522.030 sec)
p = 3877: success with T_2 and q = 1 (961.610 sec)
p = 3881: success with T_3 and q = 3 (1042.050 sec)
p = 3889: success with T_11 and q = 3 (5799.640 sec)
p = 3907: success with T_2 and q = 1 (927.510 sec)
p = 3911: success with T_2 and q = 1 (994.640 sec)
p = 3917: success with T_2 and q = 1 (526.520 sec)
p = 3919: success with T_3 and q = 1 (1040.820 sec)
p = 3923: success with T_2 and q = 1 (534.640 sec)
p = 3929: success with T_3 and q = 3 (2014.530 sec)
p = 3931: success with T_2 and q = 1 (976.810 sec)
p = 3943: success with T_3 and q = 1 (2151.860 sec)
p = 3947: success with T_2 and q = 1 (971.980 sec)
p = 3967: success with T_3 and q = 1 (2126.410 sec)
p = 3989: success with T_2 and q = 1 (553.540 sec)
[]
13 3

Total time: 134209.619 seconds, Total memory usage: 770.91MB
